NCM;DESC_NCM;CATEGORIA
31022100;Sulfato de amônio;FERTILIZANTES
31022910;Sulfonitrato de amônio;FERTILIZANTES
31022990;Outros sais duplos e misturas, de sulfato de amônio e nitrato de amônio:;FERTILIZANTES
31023000;Nitrato de amônio, mesmo em solução aquosa;FERTILIZANTES
31024000;Misturas de nitrato de amônio com carbonato de cálcio ou com outras matérias inorgânicas desprovidas de poder fertilizante;FERTILIZANTES
31025011;Nitrato de sódio, natural, com teor de nitrogênio (azoto) não superior a 16,3 %, em peso;FERTILIZANTES
31025019;Outros nitratos de sódio, naturais;FERTILIZANTES
31025090;Outros nitratos de sódio;FERTILIZANTES
31026000;Sais duplos e misturas de nitrato de cálcio e nitrato de amônio;FERTILIZANTES
31027000;Cianamida cálcica;FERTILIZANTES
31028000;Misturas de ureia com nitrato de amônio em soluções aquosas ou amoniacais;FERTILIZANTES
31029000;Outros adubos ou fertilizantes minerais/químicos, nitrogenados, incluindo as misturas não mencionadas nas subposições precedentes;FERTILIZANTES
31031010;Superfosfatos, com teor de pentóxido de fósforo (P2O5) não superior a 22 %, em peso;FERTILIZANTES
31031020;Superfosfatos, com teor de pentóxido de fósforo (P2O5) superior a 22 % mas não superior a 45 %, em peso;FERTILIZANTES
31031030;Superfosfatos, com teor de pentóxido de fósforo (P2O5) superior a 45 %, em peso;FERTILIZANTES
31031100;Superfosfatos, que contenham, em peso, 35 % ou mais de pentóxido de difósforo (P2O5);FERTILIZANTES
31031900;Outros superfosfatos;FERTILIZANTES
31039011;Hidrogeno-ortofosfato de cálcio, com teor de pentóxido de fósforo (P2O5) não superior a 46 %, em peso;FERTILIZANTES
31039019;Outros hidrogenos-ortofosfatos de cálcio;FERTILIZANTES
31039090;Outros adubos ou fertilizantes minerais/químicos, fosfatados;FERTILIZANTES
31041000;Carnalita e outros sais de potássio, naturais, em bruto;FERTILIZANTES
31042010;Cloreto de potássio, com teor de óxido de potássio (K2O) não superior a 60 %, em peso;FERTILIZANTES
31042090;Outros cloretos de potássio;FERTILIZANTES
31043010;Sulfato de potássio, com teor de óxido de potássio (K2O) não superior a 52 %, em peso;FERTILIZANTES
31043090;Outros sulfatos de potássio;FERTILIZANTES
31049010;Sulfato duplo de potássio e magnésio, com teor de óxido de potássio (K2O) superior a 30 %, em peso;FERTILIZANTES
31049090;Outros adubos ou fertilizantes minerais/químicos, potássicos;FERTILIZANTES
31051000;Produtos do presente Capítulo (adubos ou fertilizantes) apresentados em tabletes ou formas semelhantes, ou ainda em embalagens com peso bruto não superior a 10 kg;FERTILIZANTES
31052000;Adubos (fertilizantes) minerais ou químicos, que contenham os três elementos fertilizantes: nitrogênio (azoto), fósforo e potássio;FERTILIZANTES
31053000;Hidrogeno-ortofosfato de diamônio (fosfato diamônico ou diamoniacal);FERTILIZANTES
31053010;Hidrogeno-ortofosfato de diamônio (fosfato diamônico ou diamoniacal), com teor de arsênio superior ou igual a 6 mg/kg;FERTILIZANTES
31053090;Outros hidrogeno-ortofosfato de diamônio (fosfato diamônico ou diamoniacal);FERTILIZANTES
31054000;Diidrogeno-ortofosfato de amônio (fosfato monoamônico ou monoamoniacal), mesmo misturado com hidrogeno-ortofosfato de diamônio (fosfato diamônico ou diamoniacal);FERTILIZANTES
31055100;Adubos ou fertilizantes que contenham nitratos e fosfatos;FERTILIZANTES
31055900;Outros adubos/fertilizantes minerais químicos, com nitrogênio e fósforo;FERTILIZANTES
31056000;Adubos (fertilizantes) minerais ou químicos, que contenham os dois elementos fertilizantes: fósforo e potássio;FERTILIZANTES
31059011;Nitrato de sódio potássico, com teor de nitrogênio (azoto) não superior a 15 %, em peso, e de óxido de potássio (K2O) não superior a 15 %, em peso;FERTILIZANTES
31059019;Outros nitratos de sódio potássico;FERTILIZANTES
31059090;Outros adubos/fertilizantes minerais químicos com nitrogênio e potássio;FERTILIZANTES
38081010;Inseticidas para uso domissanitário direto;DEFENSIVOS
38081021;"Inseticida à base de acefato/""""Bacillus thuringiensis""""";DEFENSIVOS
38081022;Inseticida à base de cipermetrinas ou de permetrina;DEFENSIVOS
38081023;Inseticida à base de monocrotofos ou de dicrotofos;DEFENSIVOS
38081025;Inseticida à base de fosfeto de alumínio;DEFENSIVOS
38081026;Inseticida à base de triclorfon ou de diclorvos;DEFENSIVOS
38081027;Inseticida à base de oleo mineral;DEFENSIVOS
38081029;Outros inseticidas apresentados de outro modo;DEFENSIVOS
38082010;Fungicidas para uso domissanitário direto;DEFENSIVOS
38082021;Fungicida à base de hidróxido de cobre, etc.;DEFENSIVOS
38082022;Fungicida à base de ziram ou de enxofre;DEFENSIVOS
38082023;Fungicida à base de mancozeb ou de maneb;DEFENSIVOS
38082025;Fungicida à base de compostos de cromo/cobre ou arsênio;DEFENSIVOS
38082026;Fungicida à base de thiram;DEFENSIVOS
