NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,1020,Unidades,35,1,Brasil,630,Número de empresas,2021,2021,116993,"14.22-3 Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias"
1,Brasil,1020,Unidades,1288,1,Brasil,630,Número de empresas,2021,2021,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados"
1,Brasil,1020,Unidades,128,1,Brasil,630,Número de empresas,2021,2021,116995,15.1 Curtimento e outras preparações de couro
1,Brasil,1020,Unidades,128,1,Brasil,630,Número de empresas,2021,2021,116996,15.10-6 Curtimento e outras preparações de couro
1,Brasil,1020,Unidades,130,1,Brasil,630,Número de empresas,2021,2021,116997,15.2 Fabricação de artigos para viagem e de artefatos diversos de couro
1,Brasil,1020,Unidades,83,1,Brasil,630,Número de empresas,2021,2021,116998,"15.21-1 Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material"
1,Brasil,1020,Unidades,47,1,Brasil,630,Número de empresas,2021,2021,116999,15.29-7 Fabricação de artefatos de couro não especificados anteriormente
1,Brasil,1020,Unidades,814,1,Brasil,630,Número de empresas,2021,2021,117000,15.3 Fabricação de calçados
1,Brasil,1020,Unidades,510,1,Brasil,630,Número de empresas,2021,2021,117001,15.31-9 Fabricação de calçados de couro
1,Brasil,1020,Unidades,55,1,Brasil,630,Número de empresas,2021,2021,117002,15.32-7 Fabricação de tênis de qualquer material
1,Brasil,1020,Unidades,170,1,Brasil,630,Número de empresas,2021,2021,117003,15.33-5 Fabricação de calçados de material sintético
1,Brasil,1020,Unidades,79,1,Brasil,630,Número de empresas,2021,2021,117004,15.39-4 Fabricação de calçados de materiais não especificados anteriormente
1,Brasil,1020,Unidades,216,1,Brasil,630,Número de empresas,2021,2021,117005,"15.4 Fabricação de partes para calçados, de qualquer material"
1,Brasil,1020,Unidades,216,1,Brasil,630,Número de empresas,2021,2021,117006,"15.40-8 Fabricação de partes para calçados, de qualquer material"
1,Brasil,1020,Unidades,1096,1,Brasil,630,Número de empresas,2021,2021,117007,16 Fabricação de produtos de madeira
1,Brasil,1020,Unidades,473,1,Brasil,630,Número de empresas,2021,2021,117008,16.1 Desdobramento de madeira
1,Brasil,1020,Unidades,473,1,Brasil,630,Número de empresas,2021,2021,117009,16.10-2 Desdobramento de madeira
1,Brasil,1020,Unidades,623,1,Brasil,630,Número de empresas,2021,2021,117010,"16.2 Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis"
1,Brasil,1020,Unidades,256,1,Brasil,630,Número de empresas,2021,2021,117011,"16.21-8 Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"
1,Brasil,1020,Unidades,143,1,Brasil,630,Número de empresas,2021,2021,117012,16.22-6 Fabricação de estruturas de madeira e de artigos de carpintaria paraconstrução
1,Brasil,1020,Unidades,124,1,Brasil,630,Número de empresas,2021,2021,117013,16.23-4 Fabricação de artefatos de tanoaria e de embalagens de madeira
