ano;id;sexo;faixa_et;idade;escol;av01_sesi;av02_senai;av03_sesi;av04_senai;av05_sesi;av06_senai;regiao;ocupado;faixa_renda;uf;peso_pond
2022;222563;Masculino;16 a 24;23;Médio completo;Conhece mais ou menos;Nunca ouviu falar;Boa;nan;Boa;nan;Interior;Trabalha;Até 1 SM;SE;0.280917257
2022;222564;Feminino;25 a 34;26;Médio completo;Conhece só de ouvir falar;Nunca ouviu falar;Boa;nan;Boa;nan;Interior;Não trabalha;Até 1 SM;SE;0.398611872
2022;222565;Masculino;45 a 59;56;Médio completo;Nunca ouviu falar;Nunca ouviu falar;nan;nan;nan;nan;Interior;Trabalha;Até 1 SM;SE;0.280917257
2022;222566;Feminino;45 a 59;58;Médio completo;Conhece bem;Conhece só de ouvir falar;Ótima;Ótima;Ótima;Ótima;Capital;Não trabalha;Até 1 SM;SE;0.398611872
2022;222567;Feminino;35 a 44;40;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Boa;Boa;Ótima;Interior;Não trabalha;Até 1 SM;SE;0.398611872
2022;222568;Feminino;45 a 59;50;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Boa;Boa;Boa;Interior;Trabalha;Até 1 SM;SE;0.398611872
2022;222569;Feminino;25 a 34;28;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Ótima;Boa;Boa;Ótima;Interior;Trabalha;Até 1 SM;SE;0.398611872
2022;222570;Feminino;35 a 44;42;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Ótima;Ótima;Ótima;Interior;Não trabalha;Até 1 SM;SE;0.398611872
2022;222571;Feminino;25 a 34;33;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Boa;Ótima;Ótima;Interior;Não trabalha;Até 1 SM;SE;0.398611872
2022;222572;Feminino;35 a 44;38;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Ótima;nan;Ótima;Interior;Não trabalha;Até 1 SM;SE;0.398611872
2022;222573;Feminino;35 a 44;35;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Boa;nan;Ótima;Capital;Não trabalha;Até 1 SM;SE;0.398611872
2022;222574;Masculino;16 a 24;23;Médio completo;Conhece mais ou menos;Conhece mais ou menos;Regular;Ótima;Boa;Boa;Região metropolitana;Não trabalha;Até 1 SM;SE;0.280917257
